127.0.0.1 - - [28/Aug/2025:10:17:36 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [28/Aug/2025:10:17:36 +0900] "GET /reshopping/join.jsp HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [28/Aug/2025:10:17:36 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [28/Aug/2025:10:19:04 +0900] "GET /reshopping/Layout/nav.jsp HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [28/Aug/2025:10:19:05 +0900] "GET /reshopping/Layout/index.jsp HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Aug/2025:10:19:27 +0900] "GET /reshopping/Layout/nav.jsp HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [28/Aug/2025:10:19:38 +0900] "GET /reshopping/index.jsp HTTP/1.1" 200 1392
0:0:0:0:0:0:0:1 - - [28/Aug/2025:10:19:38 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [28/Aug/2025:10:19:38 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [28/Aug/2025:10:19:38 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [28/Aug/2025:10:19:38 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [28/Aug/2025:10:19:47 +0900] "GET /reshopping/index.jsp HTTP/1.1" 200 1392
0:0:0:0:0:0:0:1 - - [28/Aug/2025:10:19:47 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [28/Aug/2025:10:19:47 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [28/Aug/2025:10:19:47 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [28/Aug/2025:10:19:47 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [28/Aug/2025:10:20:05 +0900] "GET /reshopping/index.jsp HTTP/1.1" 200 1438
0:0:0:0:0:0:0:1 - - [28/Aug/2025:10:20:05 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [28/Aug/2025:10:20:05 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [28/Aug/2025:10:20:05 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [28/Aug/2025:10:20:05 +0900] "GET /css/style.css HTTP/1.1" 404 1132
