127.0.0.1 - - [29/Sep/2025:10:18:56 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [29/Sep/2025:10:18:56 +0900] "GET /reshopping/index.jsp HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [29/Sep/2025:10:18:56 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [29/Sep/2025:10:18:56 +0900] "GET /reshopping/css/style.css HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [29/Sep/2025:10:18:56 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [29/Sep/2025:10:18:56 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [29/Sep/2025:10:18:56 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [29/Sep/2025:10:18:56 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [29/Sep/2025:10:18:59 +0900] "GET /reshopping/member_search.jsp HTTP/1.1" 200 1996
0:0:0:0:0:0:0:1 - - [29/Sep/2025:10:18:59 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [29/Sep/2025:10:18:59 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [29/Sep/2025:10:18:59 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [29/Sep/2025:10:19:03 +0900] "POST /reshopping/member_search_list.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [29/Sep/2025:10:19:03 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [29/Sep/2025:10:19:03 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [29/Sep/2025:10:19:03 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [29/Sep/2025:10:19:07 +0900] "GET /reshopping/index.jsp HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [29/Sep/2025:10:19:07 +0900] "GET /css/style.css HTTP/1.1" 404 1132
